Neuo Project raw data:				
				
	structure:	Description:	Pathology:	Additional info/links:
1	Spinal Trigeminal nucleus	One of three trigeminal nuclei -- this one is respondible for facial pain and temperature sensation	Involved in Lateral Medullary syndrome (link diagram)	
2	Lateral VST	Extrapyramidal pathway that is involved in maintaining correct posture with input from the cerebellum -- this particular component of the VST projects to the isilateral lumbar region and activates extensor neurons in the legs	Lesions in the brainstem above the lateral vestibular nuclei result in disinhibition of the lateral VST, which leads to powerful extension in all four extremities (Decerebrate posturing). When this is seen, it suggests a poor prognosis in comatose patients.	
3	Ventral VST	Extrapyramidal pathway that assistd with controling head and whole body orientation		
4	MLF	A bundle of axons on each side of the brainstem, which conducts information from cranial nerves III, IV, and VI, and is thus involved in visual movements. Its chief function is to coordinate eye movements via these nerves in response to input from the frontal eye fields. 	Lesions result in INO (intranuclear opthalmoplegia), which is seen in various Stroke syndromes, as well as MS. 	stroke diagrams involving MLF pp. 117-119
5	Tectospinal Tract	Originates from superior and inferior colliculi (responsible for visual and auditory reflexes, respectively). This tract innervates the cervical anterior horn cells and is important in head turning to localize incoming visual and auditory info. 		
6	Lateral Spinothalamic & Spinotectal tracts	Lateral STT carries pain and temperature sensation from the peripheral nerves to the thalamus. 	Lesions result in lack of temperature or pain sensation and the distribution of these deficits can aid in the localization of said lesion	
7	Rubrospinal tract	An extrapyrimidal motor control pathway that initiates in the red nucleus and terminates in the thoracic spinal cord (Hence, mostly involved in function of upper extrmity muscle movements). It primarily functions to regulate flexor while inhibiting extensor tone. 	Lesions involving this tract result in movement disturbances and tremors	
				
8	Area Postrema	A circumventricular organ (lacks BBB) found along the caudal wall of the 4th ventricle -- Detects certain toxins resulting in nausea/vomitting. Thus known as the "Vomiting center"	Results in vomiting often seen during chemotherapy (ie: Cisplatin)	
9	Dorsal Motor nucleus of CN X	This is the parasympathetic input to the vagus nerve. Activation of this nucleus results in bronchial constriction, bradycardia, and stimulation of digestion/peristalsis (aka rest and digest)		note that this structure is involved with solitarius in baroreceptor reflex -- diagram pp.63
10	Hypoglossal nucleus (XII)	Control of tongue	Medial Medullary syndrome -- deviation of tongue away from hemiplegia; long term ipsilateral tongue weakness and atrophy (diagram pp. 64)	
	MLF (2)			
11	Spinal Trigrminal tract	Carries facial pain and temperture sensation to spinal trigeminal nucleus -- Found in the medulla and is the rotral continuation of the substantia gelatinosa in the spinal cord	Involved in Lateral Medullary syndrome (link diagram)	
	Spinal Trigeminal nucleus (2)			
12	Nucleus Ambiguus	This is the motor nucleus for craial nerves IX and X. 	In ALS this nucleus degenerates, which leads to bulbar palsy (dysarthria and dysphagia. This nucleus is also involved in lateral medullary syndrome via occlusion of the vertebral artery or PICA. This syndromeinvolves several structures supplied by these arteries, but hoarseness, dysphagia, decreased gag reflex, and hiccups are the speciic findings related to infarction of the nucleus ambiguus.	consider adding LMSx diagram with description of symptoms? pp. 62 in syllabus
13	Inferior Olivary nucleus	Connected to red nucleus via the central tegmental tract	Lesion of CTT, which usually occurs in the pons, can result in palatal myoclonus	
14	CST	Primary motor pathway	Contralateral spastic weakness in Medial medullary syndrome (infarction at medullary pyramid) (diagram pp.64)	
15	Medial lemniscus	Pathway of posterior columns through medulla (after decussation of internal arcuate fibers)	Medial Medullary syndrome -- contralateral loss of vibration and proprioception (diagram pp. 64)	
	Tectospinal Tract (2)			
16	Fasicles of Hypoglossal nerve (XII)	Carry motor info from hypoglossal nucleus to direct movement of tongue	Lesions result in ipsilateral tongue weakness and atrophy	
	Lateral VST (2)			
	Rubrospinal tract (2)			
